old_site,new_site
/articles/article/the-young-beauty-and-the-billionaire,/the-young-beauty-and-the-billionaire/
/articles/article/the-quiet-renaissance-in-male-culture,/the-quiet-renaissance-in-male-culture/
/articles/article/a-role-model-no-thanks,/a-role-model-no-thanks/
/articles/article/lets-look-at-the-system-not-what-we-do-in-bed,/lets-look-at-the-system-not-what-we-do-in-bed/
/articles/article/the-first-cut,/the-first-cut/
/articles/article/why-men-hold-the-key-to-the-new-feminism,/why-men-hold-the-key-to-the-new-feminism/
/articles/article/women-are-being-ripped-off-but-not-by-feminism,/women-are-being-ripped-off-but-not-by-feminism/
/articles/article/labors-man-of-the-50s,/labors-man-of-the-50s/
/articles/article/why-women-need-a-workplace-revolution,/why-women-need-a-workplace-revolution/
/articles/article/good-parents-or-good-citizens,/good-parents-or-good-citizens/
/articles/article/australians-battle-over-definition-of-fatherhood,/australians-battle-over-definition-of-fatherhood/
/articles/article/will-making-women-equal-change-anything,/will-making-women-equal-change-anything/
/articles/article/for-the-love-of-jeff,/for-the-love-of-jeff/
/articles/article/when-more-choice-means-less-freedom,/when-more-choice-means-less-freedom/
/articles/article/raising-a-brood-of-ivf-commodities,/raising-a-brood-of-ivf-commodities/
/articles/article/the-anti-choicers-real-target-is-women,/the-anti-choicers-real-target-is-women/
/articles/article/charity-begins-at-home-morally-speaking,/charity-begins-at-home-morally-speaking/
/articles/article/identity-deficit-disorder-its-so-you,/identity-deficit-disorder-its-so-you/
/articles/article/the-bully-and-the-bullied-chapter-and-verse-i-confess-i-was-cruel-in-school,/the-bully-and-the-bullied-chapter-and-verse-i-confess-i-was-cruel-in-school/
/articles/article/do-nice-guys-finish-last,/do-nice-guys-finish-last/
/articles/article/school-hours-did-feminism-drop-the-ball,/school-hours-did-feminism-drop-the-ball/
/articles/article/bottoms-up-sister,/bottoms-up-sister/
/articles/article/the-population-debate-we-have-to-have,/the-population-debate-we-have-to-have/
/articles/article/calling-all-single-childless-women,/calling-all-single-childless-women/
/articles/article/its-his-baby-too-give-him-paid-leave,/its-his-baby-too-give-him-paid-leave/
/articles/article/an-interminable-debate,/an-interminable-debate/
/articles/article/it-didnt-start-with-a-kiss,/it-didnt-start-with-a-kiss/
/articles/article/a-mothers-birthright,/a-mothers-birthright/
/articles/article/best-yes-but-for-whom,/best-yes-but-for-whom/
/articles/article/the-horrible-dilemma-of-the-pregnant-woman,/the-horrible-dilemma-of-the-pregnant-woman/
/articles/article/child-care-dinosaurs-time-is-past,/child-care-dinosaurs-time-is-past/
/articles/article/the-disappearing-father,/the-disappearing-father/
/articles/article/staying-mums-a-cop-out,/staying-mums-a-cop-out/
/articles/article/street-prostitution-in-st-kilda,/street-prostitution-in-st-kilda/
/articles/article/book-review-the-end-of-equality-work-babies-and-womens-choices-in-21st-century-australia,/book-review-the-end-of-equality-work-babies-and-womens-choices-in-21st-century-australia/
/articles/article/fathers-look-after-their-children-but-seek-more-thrills-for-them,/fathers-look-after-their-children-but-seek-more-thrills-for-them/
/articles/article/deadly-price-of-decency,/deadly-price-of-decency/
/articles/article/a-pregnant-pause-for-waiters-and-watchers,/a-pregnant-pause-for-waiters-and-watchers/
/articles/article/abortion-critics-deny-the-complexity-of-choice,/abortion-critics-deny-the-complexity-of-choice/
/articles/article/book-review-night-thoughts-in-a-time-of-war-bob-ellis,/book-review-night-thoughts-in-a-time-of-war-bob-ellis/
/articles/article/why-are-young-women-welcoming-the-return-of-the-bunny,/why-are-young-women-welcoming-the-return-of-the-bunny/
/articles/article/in-search-of-the-gorgeous-aussie-bloke,/in-search-of-the-gorgeous-aussie-bloke/
/articles/article/the-bald-facts,/the-bald-facts/
/articles/article/put-an-end-to-abortion-whispers,/put-an-end-to-abortion-whispers/
/articles/article/book-review-motherguilt-australian-women-reveal-their-true-feelings-about-motherhood,/book-review-motherguilt-australian-women-reveal-their-true-feelings-about-motherhood/
/articles/article/choice-what-choice,/choice-what-choice/
/articles/article/after-the-dna-will-abbott-get-a-reality-check,/after-the-dna-will-abbott-get-a-reality-check/
/articles/article/book-review-the-catch,/book-review-the-catch/
/articles/article/school-holidays-give-us-a-break,/school-holidays-give-us-a-break/
/articles/article/book-review-the-moral-of-the-story-an-anthology-of-ethics-through-literature,/book-review-the-moral-of-the-story-an-anthology-of-ethics-through-literature/
/articles/article/sex-and-the-teacher-was-justice-done,/sex-and-the-teacher-was-justice-done/
/articles/article/why-we-will-resolve-the-conflict-between-work-and-family,/why-we-will-resolve-the-conflict-between-work-and-family/
/articles/article/madness-in-the-method,/madness-in-the-method/
/articles/article/book-review-wonder-woman,/book-review-wonder-woman/
/articles/article/popular-yes-but-is-it-moral,/popular-yes-but-is-it-moral/
/articles/article/book-review-male-trouble-looking-at-australian-masculinities,/book-review-male-trouble-looking-at-australian-masculinities/
/articles/article/to-publish-or-to-e-publish,/to-publish-or-to-e-publish/
/articles/article/zealotry-trumps-humanity-in-pursuit-of-dubious-cause,/zealotry-trumps-humanity-in-pursuit-of-dubious-cause/
/articles/article/book-review-after-the-party-jesse-blackadder,/book-review-after-the-party-jesse-blackadder/
/articles/article/abortion-case-could-set-an-ugly-precedent,/abortion-case-could-set-an-ugly-precedent/
/articles/article/the-sins-of-scholarship,/the-sins-of-scholarship/
/articles/article/book-review-call-me-elizabeth-and-callgirl,/book-review-call-me-elizabeth-and-callgirl/
/articles/article/senators-choices-could-mean-none-for-women,/senators-choices-could-mean-none-for-women/
/articles/article/paternity-fraud-or-paternal-discrepancy,/paternity-fraud-or-paternal-discrepancy/
/articles/article/book-review-motherhood-how-should-we-care-for-our-children-moving-beyond-the-motherwars-changing-the-way-we-see-and-act,/book-review-motherhood-how-should-we-care-for-our-children-moving-beyond-the-motherwars-changing-the-way-we-see-and-act/
/articles/article/note-to-the-pm-politics-dont-belong-in-medicine,/note-to-the-pm-politics-dont-belong-in-medicine/
/articles/article/lift-the-ban-on-ru486,/lift-the-ban-on-ru486/
/articles/article/to-ru486-or-not-to-ru486,/to-ru486-or-not-to-ru486/
/articles/article/ru486-mifepristone-a-factual-guide-to-the-issues-in-the-australian-debate,/ru486-mifepristone-a-factual-guide-to-the-issues-in-the-australian-debate/
/articles/article/letters-page-the-australian-ru486,/letters-page-the-australian-ru486/
/articles/article/the-ru486-debate-death-by-amendment,/the-ru486-debate-death-by-amendment/
/articles/article/women-need-counselling-not-coercion,/women-need-counselling-not-coercion/
/articles/article/to-tell-or-not-to-tell,/to-tell-or-not-to-tell/
/articles/article/abortion-corruption-cops-the-bertram-wainer-story,/abortion-corruption-cops-the-bertram-wainer-story/
/articles/article/lets-keep-the-counsellors-honest-and-true,/lets-keep-the-counsellors-honest-and-true/
/articles/article/full-disclosure-for-pregnancy-counselling-services,/full-disclosure-for-pregnancy-counselling-services/
/articles/article/time-to-break-the-news-to-your-children,/time-to-break-the-news-to-your-children/
/articles/article/stem-cell-dilemma,/stem-cell-dilemma/
/articles/article/living-in-the-public-eye-means-living-under-public-judgement,/living-in-the-public-eye-means-living-under-public-judgement/
/articles/article/victims-of-a-lost-puritanism,/victims-of-a-lost-puritanism/
/articles/article/positive-family-planning-letter,/positive-family-planning-letter/
/articles/article/accusers-abusers-and-excusers-the-dreyfus-affair-revisited,/accusers-abusers-and-excusers-the-dreyfus-affair-revisited/
/articles/article/rewind,/rewind/
/articles/article/does-yes-still-mean-yes-and-no-mean-no,/does-yes-still-mean-yes-and-no-mean-no/
/articles/article/stem-cell-d-day,/stem-cell-d-day/
/articles/article/the-net-brings-you-the-world-but-not-necessarily-the-facts,/the-net-brings-you-the-world-but-not-necessarily-the-facts/
/articles/article/contemporary-callenges-to-womens-freedom-to-choose,/contemporary-callenges-to-womens-freedom-to-choose/
/articles/article/transparency-in-advertising,/transparency-in-advertising/
/articles/article/abbott-playing-fast-and-loose-with-the-truth,/abbott-playing-fast-and-loose-with-the-truth/
/articles/article/implications-of-dr-suman-sood-conviction-for-unlawful-abortion,/implications-of-dr-suman-sood-conviction-for-unlawful-abortion/
/articles/article/steve-irwin-why-we-admired-the-boy-who-wouldnt-grow-up,/steve-irwin-why-we-admired-the-boy-who-wouldnt-grow-up/
/articles/article/burlesque-evokes-a-repressive-past-not-a-liberating-present,/burlesque-evokes-a-repressive-past-not-a-liberating-present/
/articles/article/legal-safeguards-can-make-euthanasia-a-legitimate-option,/legal-safeguards-can-make-euthanasia-a-legitimate-option/
/articles/article/multiculturalism-and-feminism-do-they-mix,/multiculturalism-and-feminism-do-they-mix/
/articles/article/no-sister-feminism-is-not-about-choice,/no-sister-feminism-is-not-about-choice/
/articles/article/there-shouldnt-be-one-law-for-religions-another-for-the-rest,/there-shouldnt-be-one-law-for-religions-another-for-the-rest/
/articles/article/beslans-terrorists-show-the-dark-side-of-human-emotions,/beslans-terrorists-show-the-dark-side-of-human-emotions/
/articles/article/progressive-social-movements-is-the-end-nigh,/progressive-social-movements-is-the-end-nigh/
/articles/article/misconceptions-in-the-blame-cycle,/misconceptions-in-the-blame-cycle/
/articles/article/much-remains-confused-about-men-women-sex-and-power,/much-remains-confused-about-men-women-sex-and-power/
/articles/article/it-matters-who-you-are-and-where-you-come-from,/it-matters-who-you-are-and-where-you-come-from/
/articles/article/the-difference-between-a-slut-and-a-stud,/the-difference-between-a-slut-and-a-stud/
/articles/article/women-can-still-say-no,/women-can-still-say-no/
/articles/article/beyond-the-yuk-factor,/beyond-the-yuk-factor/
/articles/article/the-kovco-case-mothers-grief-real-and-so-are-her-questions,/the-kovco-case-mothers-grief-real-and-so-are-her-questions/
/articles/article/voting-above-the-line,/voting-above-the-line/
/articles/article/are-fathers-parents-or-progenitors,/are-fathers-parents-or-progenitors/
/articles/article/do-blogs-spell-the-end-of-moderated-opinion,/do-blogs-spell-the-end-of-moderated-opinion/
/articles/article/on-the-blogosphere,/on-the-blogosphere/
/articles/article/do-we-want-to-help-overweight-kids-or-insult-them,/do-we-want-to-help-overweight-kids-or-insult-them/
